﻿﻿﻿﻿﻿﻿﻿﻿﻿시즌/대회,소속팀,닉네임,국적,포지션,등급
Champions Tour 2023: LOCK//IN São Paulo,Gen.G,k1Ng,KR,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Movistar KOI,trexx,RU,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,NaVi,Shao,UN,FLEX,A
Champions Tour 2023: LOCK//IN São Paulo,Fnatic,Leo,SE,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Kiwoom DRX,MaKo,KR,CONTROLLER,A
Champions Tour 2023: LOCK//IN São Paulo,Karmine Corp,sh1n,FR,FLEX,A
Champions Tour 2023: LOCK//IN São Paulo,Karmine Corp,Nivera,BE,CONTROLLER,A
Champions Tour 2023: LOCK//IN São Paulo,FURIA,mwzera,BR,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Leviatán,Shyy,CL,SENTINEL,A
Champions Tour 2023: LOCK//IN São Paulo,Team Liquid,nAts,RU,SENTINEL,A
Champions Tour 2023: LOCK//IN São Paulo,EDward Gaming,CHICHOO,CN,SENTINEL,B
Champions Tour 2023: LOCK//IN São Paulo,Team Vitality,Twisten,CZ,DUELIST,A
Champions Tour 2023: LOCK//IN São Paulo,Evil Geniuses,Ethan,US,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Giants Gaming,Cloud,RU,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,NRG,crashies,US,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,LOUD,Less,BR,SENTINEL,A
Champions Tour 2023: LOCK//IN São Paulo,Cloud9,leaf,US,SENTINEL,A
Champions Tour 2023: LOCK//IN São Paulo,RRQ,Emman,PH,DUELIST,A
Champions Tour 2023: LOCK//IN São Paulo,NaVi,Zyppan,SE,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Team Vitality,MOLSI,PL,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Leviatán,kiNgg,CL,INITIATOR,B
Champions Tour 2023: LOCK//IN São Paulo,Giants Gaming,nukkye,LT,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Team Secret,JessieVash,PH,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Cloud9,Xeppaa,US,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Talon Esports,foxz,TH,INITIATOR,B
Champions Tour 2023: LOCK//IN São Paulo,MIBR,frz,BR,SENTINEL,A
Champions Tour 2023: LOCK//IN São Paulo,FUT Esports,qRaxs,TR,INITIATOR,A
Champions Tour 2023: LOCK//IN São Paulo,Fnatic,Derke,FI,DUELIST,A
Champions Tour 2023: LOCK//IN São Paulo,MIBR,murizzz,BR,INITIATOR,B
Champions Tour 2023: LOCK//IN São Paulo,Team Vitality,ceNder,LT,SENTINEL,B
Champions Tour 2023: LOCK//IN São Paulo,Team Heretics,keloqz,FR,DUELIST,A
Champions Tour 2023: LOCK//IN São Paulo,Cloud9,yay,US,SENTINEL,B
Champions Tour 2023: LOCK//IN São Paulo,NRG,s0m,US,CONTROLLER,A
Champions Tour 2023: LOCK//IN São Paulo,FUT Esports,qw1,TR,DUELIST,A
Champions Tour 2023: LOCK//IN São Paulo,LOUD,aspas,BR,DUELIST,B
Champions Tour 2023: LOCK//IN São Paulo,NRG,ardiis,LV,SENTINEL,A
Champions Tour 2023: LOCK//IN São Paulo,Fnatic,Chronicle,RU,INITIATOR,B
Champions Tour 2023: LOCK//IN São Paulo,Gen.G,TS,KR,CONTROLLER,B
Champions Tour 2023: LOCK//IN São Paulo,Fnatic,Alfajer,TR,SENTINEL,B
Champions Tour 2023: LOCK//IN São Paulo,NaVi,cNed,TR,DUELIST,A
Champions Tour 2023: LOCK//IN São Paulo,DFM,takej,JP,CONTROLLER,C
